,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.30167514544746105,0.00781003601147798,0.36273909923080244,0.5512183518745964,0.4194645118781003,R
1,0.35452236092614275,0.021022901648540697,0.24429187360884363,0.048157413465870894,0.519494416904586,R
2,0.7030806104215337,0.5219540066361525,0.4442854444304753,0.6612505319679692,0.8074958297251222,M
3,0.8973228639950925,0.7543305471082267,0.7203819254710323,0.8081625732345858,0.5741802757253789,M
4,0.523484309248518,0.6411216154278113,0.904789730979685,0.5070264471642756,0.5258296182251724,M
5,0.6921030778906353,0.4458124062583112,0.9916614140808708,0.7931574773431158,0.6717193081022468,M
6,0.3262414522311786,0.3576491587036655,0.5512178859732795,0.32925318405846926,0.15484399650935995,R
7,0.44641306003179676,0.04339206324868602,0.17045152598473545,0.3011576574008601,0.42758994603662553,R
8,0.828308404627262,0.7039399865840013,0.9198730584142207,0.6641577361283351,0.5601856627178374,M
9,0.814671995653616,0.7367569882990578,0.6512548977019939,0.6037833829534234,0.7307107000269901,M
10,0.7367254535856638,0.6625329980894168,0.49781288296483844,0.4515014378147332,0.7360085720817555,M
11,0.32691537407965077,0.2031032353828879,0.08966385455572001,0.4871765185289835,0.5500524286718991,R
12,0.10043147704011414,0.0824426582035748,0.23213112053459403,0.14871862840445338,0.24924021275001965,R
13,0.4489692107194596,0.11037511285432063,0.06476795943125913,0.13805778658925744,0.1455225550419708,R
14,0.3045469060274328,0.2280754734816517,0.23069148144333076,0.5102153793265224,0.45797661839339293,R
15,0.44574123647421415,0.4211178391985601,0.854716503034209,0.7229325943013583,0.6589923756363104,M
16,0.8423495073858295,0.5114217718778902,0.8675193913299836,0.7781134916392173,0.6339127414438516,M
17,0.12254228430434419,0.3648597771756316,0.5105428953130718,0.09622352746706342,0.29521509820869685,R
18,0.2899425781607038,0.32522141516768244,0.214166314950288,0.398586680811777,0.026483279136424735,R
19,0.7984967438552926,0.8763368951879316,0.960256528317408,0.8099454176058428,0.7764786767488452,M
20,0.05483886101789988,0.4053870784726752,0.3396396949121023,0.19278224274243175,0.4945504408332488,R
21,0.6518930716094846,0.8334517059484182,0.49230978386121577,0.5890150501779483,0.7842373249798649,M
22,0.4195681421658345,0.22169254947733155,0.22671014574209122,0.20441212487959323,0.5405520202591578,R
